"Lookup IP",Mobile,Date,Proxy,ISP,Organization,ASN,Host,"Country Code",City,Region,Latitude,Longitude,"Strictness Level",TOR,VPN,"Active TOR","Active VPN","Connection Type","Abuse Velocity","Recent Abuse","Bot Status","Fraud Score",Browser,OS,Brand,Model,"User Activity","Original Column 1"
118.148.109.144,false,2022-03-23T14:53:03-04:00,false,2degrees Mobile,2degrees,23655,144-109-148-118.nzcomms.co.nz,NZ,Auckland,Auckland,-36.86999893,174.77000427,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,118.148.109.144
122.200.173.194,false,2022-03-23T14:53:03-04:00,true,Cynergic Internet,Cynergic Internet,10083,vpn.skillhire.com.au,AU,Hawthorn,Victoria,-37.83000183,145.02999878,1,false,true,false,true,Premium required.,Premium required.,false,false,75,N/A,N/A,N/A,N/A,N/A,122.200.173.194
220.235.10.17,false,2022-03-23T14:53:05-04:00,false,iiNet Limited,iiNet Limited,7545,220-235-10-17.dyn.iinet.net.au,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,220.235.10.17
124.171.197.5,false,2022-03-23T14:53:06-04:00,false,iiNet Limited,iiNet Limited,7545,124-171-197-5.dyn.iinet.net.au,AU,Canberra,Australian Capital Territory,-35.27999878,149.13000488,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,124.171.197.5
114.249.133.59,false,2022-03-23T14:53:07-04:00,false,China Unicom,China Unicom,4808,114.249.133.59,CN,Beishicao,Beijing,40.24000168,116.51999664,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,114.249.133.59
14.202.89.96,false,2022-03-23T14:53:08-04:00,false,TPG Internet,TPG Internet,7545,14-202-89-96.static.tpgi.com.au,AU,Brisbane,Queensland,-27.46999931,153.02000427,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,14.202.89.96
203.7.1.145,false,2022-03-23T14:53:09-04:00,false,iiNet Limited,iiNet Limited,18371,203-7-1-145.dyn.iinet.net.au,AU,Ballarat,Victoria,-37.56000137,143.86000061,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,203.7.1.145
101.176.156.39,false,2022-03-23T14:53:09-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-101-176-156-39.nb12.nsw.asp.telstra.net,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,101.176.156.39
120.151.36.172,false,2022-03-23T14:53:09-04:00,true,Telstra Internet,Telstra Internet,1221,morela8.lnk.telstra.net,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,false,true,false,false,Premium required.,Premium required.,false,false,75,N/A,N/A,N/A,N/A,N/A,120.151.36.172
1.43.196.4,false,2022-03-23T14:53:10-04:00,false,Optus,Optus,4804,n1-43-196-4.mas2.nsw.optusnet.com.au,AU,Miranda,New South Wales,-34.02999878,151.1000061,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,1.43.196.4
